user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
a100000029,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,,House Ads,False
a100000030,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,,House Ads,False
a100000031,2018-01-01,House Ads,personalization,True,English,English,24-30 years,2018-01-01,,House Ads,False
a100000032,2018-01-01,House Ads,personalization,True,English,English,30-36 years,2018-01-01,,House Ads,False
a100000033,2018-01-01,House Ads,personalization,True,English,English,36-45 years,2018-01-01,,House Ads,False
a100000034,2018-01-01,House Ads,personalization,True,German,German,45-55 years,2018-01-01,,House Ads,False
a100000035,2018-01-01,House Ads,personalization,True,English,English,55+ years,2018-01-01,,House Ads,False
a100000036,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,,House Ads,False
a100000037,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,,House Ads,False
a100000038,2018-01-01,House Ads,personalization,True,English,English,24-30 years,2018-01-01,,House Ads,False
a100000039,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,,House Ads,False
a100000040,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,2018-01-18,House Ads,True
a100000041,2018-01-01,House Ads,personalization,True,Arabic,Arabic,24-30 years,2018-01-01,2018-02-22,House Ads,True
a100000042,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,2018-03-09,House Ads,True
a100000043,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,2018-02-18,House Ads,True
a100000044,2018-01-01,House Ads,personalization,True,Arabic,Arabic,24-30 years,2018-01-01,2018-03-03,House Ads,True
a100000045,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,2018-02-04,House Ads,True
a100000046,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,2018-01-09,House Ads,True
a100000047,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,2018-02-04,House Ads,True
a100000048,2018-01-02,House Ads,personalization,True,German,German,0-18 years,2018-01-02,2018-01-21,House Ads,True
a100000049,2018-01-02,House Ads,personalization,True,German,German,19-24 years,2018-01-02,,House Ads,False
a100000050,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,,House Ads,False
a100000050,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-02,,House Ads,False
a100000051,2018-01-02,House Ads,personalization,True,English,English,30-36 years,2018-01-02,,House Ads,False
a100000051,2018-01-01,Push,personalization,False,English,English,30-36 years,2018-01-02,,House Ads,False
a100000052,2018-01-02,House Ads,personalization,True,English,English,36-45 years,2018-01-02,,House Ads,False
a100000052,2018-01-01,House Ads,personalization,False,English,English,36-45 years,2018-01-02,,House Ads,False
a100000053,2018-01-02,House Ads,personalization,True,English,English,45-55 years,2018-01-02,,House Ads,False
a100000053,2018-01-01,House Ads,personalization,False,English,English,45-55 years,2018-01-02,,House Ads,False
a100000054,2018-01-02,House Ads,personalization,True,English,English,55+ years,2018-01-02,,House Ads,False
a100000054,2018-01-01,House Ads,personalization,False,English,English,55+ years,2018-01-02,,House Ads,False
a100000055,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,,House Ads,False
a100000055,2018-01-01,Push,personalization,False,English,English,0-18 years,2018-01-02,,House Ads,False
a100000056,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,,House Ads,False
a100000056,2018-01-01,Facebook,personalization,False,English,English,19-24 years,2018-01-02,,House Ads,False
a100000057,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,,House Ads,False
a100000057,2018-01-01,Instagram,personalization,False,English,English,24-30 years,2018-01-02,,House Ads,False
a100000058,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,,House Ads,False
a100000058,2018-01-01,Instagram,personalization,False,English,English,0-18 years,2018-01-02,,House Ads,False
a100000059,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,2018-02-19,House Ads,True
a100000059,2018-01-01,Facebook,personalization,False,English,English,19-24 years,2018-01-02,2018-02-19,House Ads,True
a100000060,2018-01-02,House Ads,personalization,True,German,German,24-30 years,2018-01-02,2018-03-08,House Ads,True
a100000060,2018-01-01,House Ads,personalization,False,German,German,24-30 years,2018-01-02,2018-03-08,House Ads,True
a100000061,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,2018-02-05,House Ads,True
a100000061,2018-01-01,House Ads,personalization,False,English,English,0-18 years,2018-01-02,2018-02-05,House Ads,True
a100000062,2018-01-03,House Ads,personalization,True,English,English,19-24 years,2018-01-03,2018-01-11,House Ads,True
a100000062,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-03,2018-01-11,House Ads,True
a100000063,2018-01-03,House Ads,personalization,True,English,English,24-30 years,2018-01-03,2018-01-06,House Ads,True
a100000063,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-03,2018-01-06,House Ads,True
a100000064,2018-01-03,House Ads,personalization,True,English,English,0-18 years,2018-01-03,2018-03-01,House Ads,True
a100000064,2018-01-01,Push,personalization,False,English,English,0-18 years,2018-01-03,2018-03-01,House Ads,True
a100000065,2018-01-03,House Ads,personalization,True,English,English,19-24 years,2018-01-03,2018-04-02,House Ads,True
a100000065,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-03,2018-04-02,House Ads,True
a100000066,2018-01-03,House Ads,personalization,True,English,English,24-30 years,2018-01-03,2018-03-02,House Ads,True
a100000066,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-03,2018-03-02,House Ads,True
a100000067,2018-01-03,House Ads,control,True,English,English,0-18 years,2018-01-03,2018-01-05,House Ads,True
a100000068,2018-01-03,House Ads,control,True,English,English,19-24 years,2018-01-03,,House Ads,False
a100000069,2018-01-03,House Ads,control,True,English,English,24-30 years,2018-01-03,,House Ads,False
a100000070,2018-01-03,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-03,,House Ads,False
a100000071,2018-01-03,House Ads,control,True,English,English,36-45 years,2018-01-03,,House Ads,False
a100000072,2018-01-03,House Ads,control,True,German,German,45-55 years,2018-01-03,,House Ads,False
a100000073,2018-01-03,House Ads,control,True,English,English,55+ years,2018-01-03,,House Ads,False
a100000075,2018-01-03,House Ads,control,True,English,English,0-18 years,2018-01-03,,House Ads,False
a100000076,2018-01-03,House Ads,control,True,English,English,19-24 years,2018-01-03,,House Ads,False
a100000077,2018-01-03,House Ads,control,True,English,English,24-30 years,2018-01-03,,House Ads,False
a100000078,2018-01-03,House Ads,control,True,English,English,30-36 years,2018-01-03,,House Ads,False
a100000079,2018-01-03,House Ads,control,True,English,English,36-45 years,2018-01-03,,House Ads,False
a100000080,2018-01-04,House Ads,control,True,English,English,45-55 years,2018-01-04,,House Ads,False
a100000081,2018-01-04,House Ads,control,True,English,English,55+ years,2018-01-04,,House Ads,False
a100000082,2018-01-04,House Ads,control,True,English,English,0-18 years,2018-01-04,,House Ads,False
a100000083,2018-01-04,House Ads,control,True,English,English,19-24 years,2018-01-04,,House Ads,False
a100000085,2018-01-04,House Ads,control,True,Spanish,Spanish,24-30 years,2018-01-04,,House Ads,False
